wl (m),n,k
0.00000208,1.737,3.14E-09
0.00000209,1.737,3.16E-09
0.0000021,1.737,3.01E-09
0.00000211,1.736,3.02E-09
0.00000212,1.736,3.04E-09
0.00000213,1.736,3.22E-09
0.00000214,1.735,3.24E-09
0.00000215,1.735,3.25E-09
0.00000216,1.735,3.27E-09
0.00000217,1.735,3.45E-09
0.00000218,1.735,3.30E-09
0.00000219,1.735,3.31E-09
0.0000022,1.734,3.33E-09
0.00000221,1.734,3.52E-09
0.00000222,1.734,3.53E-09
0.00000223,1.734,3.73E-09
0.00000224,1.734,3.57E-09
0.00000225,1.734,3.58E-09
0.00000226,1.734,3.78E-09
0.00000227,1.734,3.61E-09
0.00000228,1.734,3.63E-09
0.00000229,1.734,3.64E-09
0.0000023,1.734,3.66E-09
0.00000231,1.733,3.68E-09
0.00000232,1.733,3.69E-09
0.00000233,1.733,3.71E-09
0.00000234,1.733,3.72E-09
0.00000235,1.733,3.74E-09
0.00000236,1.733,3.76E-09
0.00000237,1.732,3.77E-09
0.00000238,1.732,3.98E-09
0.00000239,1.732,3.80E-09
0.0000024,1.732,4.01E-09
0.00000241,1.732,3.84E-09
0.00000242,1.732,3.85E-09
0.00000243,1.732,3.87E-09
0.00000244,1.732,3.69E-09
0.00000245,1.732,3.90E-09
0.00000246,1.732,3.72E-09
0.00000247,1.731,3.73E-09
0.00000248,1.731,3.75E-09
0.00000249,1.73,3.57E-09
0.0000025,1.729,3.58E-09
2.51E-06,1.729,3.79E-09
2.51E-06,1.729,3.80E-09
2.52E-06,1.729,3.81E-09
2.53E-06,1.728,3.82E-09
2.53E-06,1.728,3.63E-09
2.54E-06,1.728,3.84E-09
2.54E-06,1.728,3.85E-09
0.000002551,1.728,3.86E-09
2.56E-06,1.727,3.87E-09
2.56E-06,1.727,3.88E-09
2.57E-06,1.727,3.89E-09
2.58E-06,1.727,3.90E-09
0.000002584,1.727,4.11E-09
2.59E-06,1.726,3.92E-09
2.60E-06,1.726,3.93E-09
2.60E-06,1.726,3.94E-09
0.000002611,1.726,4.16E-09
2.62E-06,1.726,4.17E-09
2.62E-06,1.726,4.18E-09
2.63E-06,1.725,4.19E-09
2.64E-06,1.725,4.20E-09
2.65E-06,1.725,4.21E-09
2.65E-06,1.725,4.22E-09
2.66E-06,1.725,4.23E-09
2.67E-06,1.724,4.24E-09
2.67E-06,1.724,4.26E-09
0.000002681,1.725,4.27E-09
2.69E-06,1.725,4.28E-09
2.70E-06,1.724,4.29E-09
2.70E-06,1.724,4.09E-09
0.00000271,1.723,4.10E-09
2.72E-06,1.723,4.11E-09
2.72E-06,1.722,4.34E-09
2.73E-06,1.722,4.57E-09
2.74E-06,1.722,4.58E-09
2.75E-06,1.723,4.59E-09
2.75E-06,1.723,4.60E-09
2.76E-06,1.723,4.62E-09
2.77E-06,1.723,4.63E-09
2.78E-06,1.722,4.64E-09
2.79E-06,1.722,4.65E-09
2.79E-06,1.722,4.45E-09
2.80E-06,1.722,4.46E-09
0.000002809,1.722,4.69E-09
2.82E-06,1.722,4.71E-09
2.82E-06,1.721,4.72E-09
2.83E-06,1.721,4.73E-09
2.84E-06,1.721,4.52E-09
